source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,N_window,N_unique,DT,sig_DT,rho_s,sig_rho_s,rho_t,sig_rho_t,A,sig_A,V,sig_V,a_GR,sig_a_GR,b_GR,sig_b_GR,M_c,sig_M_c,M_r,sig_M_r,Dc,sig_Dc,S_eff,sig_S_eff,DEps,sig_DEps,h,sig_h,r_perc,sig_r_perc,C_r_1km,sig_C_r_1km,C_r_2km,sig_C_r_2km,C_r_5km,sig_C_r_5km,CoVdt,sig_CoVdt,mcor,sig_mcor,dtcor,sig_dtcor,m2cor,sig_m2cor,dt2cor,sig_dt2cor,PCA_eigval_1,PCA_1x,PCA_1y,PCA_1z,PCA_eigval_2,PCA_2x,PCA_2y,PCA_2z,PCA_eigval_3,PCA_3x,PCA_3y,PCA_3z
2009-03-30 19:12:06,42.332,13.3755,10.12,1.9667,200.0,126.5,29891605.0,732496.3631715272,2.0438810109876e-07,2.3437656922113257e-08,6.690841793205818e-06,1.7690682769288237e-07,980198378.1586076,104259271.30083084,13889258204783.303,2732210757767.6777,3.900281221954183,0.12457633639860599,0.9982924951223388,0.0708306255249868,1.6,0.05994789404140898,2051620.1640878513,1734640.7166244125,1.4392835158402235,0.14121954053355792,0.0005635532106849559,0.00054899152328851,5.125273095761089e-09,4.992840836966614e-09,0.0629939169151893,0.09840698214338058,27.396670443330517,1.0768225719031914,1.6628367970505797e-06,3.4244520747907895e-07,4.782308928974954e-06,7.734291280125432e-07,1.5119567687684655e-05,1.8650631633723638e-06,2.074573602438141,0.1867344874113725,0.007151005025125633,0.04729796800422005,16.366161616161616,3207.388542864262,0.3698094530904523,0.05039090306512031,191115982865.18433,73686192751.40436,0.7548332080586686,-0.4410634231177127,0.8926899864244718,0.09256157369644201,0.1362230174123467,0.8695741712450233,0.39955545843979917,0.29016580834842104,0.10894377452898465,-0.22204462950320672,-0.2084706784380914,0.952489453348616
2009-03-30 19:13:33,42.3268,13.3812,11.4,2.3467,200.0,126.0,29301353.0,776631.6419910574,2.0017394063796285e-07,2.4552289013693317e-08,6.859751493386671e-06,1.9635327576899602e-07,1000815133.9431405,109515442.88833198,14263596811028.484,2407099912727.8306,3.8983744802283926,0.1196440751775912,0.9997022579946724,0.07169545941675455,1.6,0.025094820182659197,2357101.542137681,1273435.337266463,1.471800326860377,0.14548221881927514,0.0005697573584183306,0.0004914249314483541,5.1816971403004586e-09,4.469297542777221e-09,0.05883527949987079,0.08953485065523328,28.131737184096206,1.1621733240255867,1.6779879295977376e-06,3.33812777836711e-07,4.804171611827984e-06,7.410083871613529e-07,1.5171334057220778e-05,1.952489255175072e-06,2.105392581892523,0.22762208128926695,0.005863065326633154,0.04441206638030851,17.977272727272727,3624.649984168209,0.3787702962562814,0.05378449626286496,188339944487.851,79150232443.27173,0.7556526815389343,-0.43736658098151804,0.8949218891760684,0.08846064726235169,0.13622725365019747,0.8617943294041538,0.3889951170225651,0.32556617259697795,0.10812006481086815,-0.2569455343985991,-0.21862664797809483,0.9413720737022532
2009-03-30 19:20:31,42.325,13.3773,10.93,2.0,200.0,127.0,29301771.0,791248.645940405,1.9915585667445263e-07,2.2087513573554863e-08,6.842589821618632e-06,1.9720610615937048e-07,1004011277.0123062,99425509.594267,14374579484418.04,2428340569905.857,3.8865893731107577,0.13783698028955618,0.990974610904235,0.0826016481365772,1.6,0.02911614672308133,2277474.9862974426,1155597.139761044,1.4493617906635352,0.14551894816767402,0.0005748368284352191,0.0005226921995575252,5.227892726670452e-09,4.753659844294602e-09,0.05452095626105699,0.09568316171573782,28.026965677168555,1.1094992568795752,1.733093005237189e-06,3.204947254170803e-07,4.979933741221527e-06,7.457489076939273e-07,1.5600541686353724e-05,1.9369150915659885e-06,2.114998241863066,0.20127891795807765,-0.007135929648241205,0.043520435659394875,1.005050505050505,3495.3727674116903,0.38711104761306525,0.05152799040716741,191711957888.54797,73492688886.19298,0.7554854756909243,-0.425233786179475,0.9007680846135383,0.08827845055916105,0.13472694868432436,0.8539652546728008,0.3669889336389613,0.3688664614710279,0.10978757562475143,-0.2998659215434251,-0.23224121151982485,0.9252807405153943
2009-03-30 19:32:51,42.3237,13.3853,11.78,2.8067,200.0,127.0,29302511.0,788532.4334406289,2.0120901169356302e-07,2.1987689765088407e-08,6.85948040425614e-06,1.9865815756610578e-07,994199538.4579827,98739690.61054195,14398311994714.102,2462622372420.643,3.8609596814914378,0.11489943199197765,0.9753949889275926,0.06925061199957978,1.6,0.07885271079677603,2629277.6691996,2034702.3359889383,1.4626020171501979,0.13729109403908754,0.0005730546991431117,0.0005159496995296439,5.211685030323723e-09,4.692339718109769e-09,0.049873364318245614,0.09217060096925264,28.328918806244832,1.06835055980741,1.7460116141767371e-06,2.877869868008912e-07,4.98093482487816e-06,6.916068031266737e-07,1.5397179786866105e-05,1.8612960156923994e-06,2.138863863235758,0.20529767399055276,0.003233165829145716,0.042361606432817715,-26.573232323232325,2946.6034893424735,0.38255848952261295,0.055438076375376524,207889641357.4167,80603687336.91022,0.7518579249516248,-0.4212244983979562,0.9025368869893557,0.08942644783817082,0.13634452614220355,0.8560513852834774,0.36307620649895017,0.3679017450741045,0.11179754890617156,-0.29957628027537436,-0.23152286258141921,0.9255545453394282
2009-03-30 20:04:44,42.3278,13.373,9.58,2.3133,200.0,127.0,27971075.0,283200.9911262775,1.9962218838278243e-07,2.4550069890346156e-08,7.185994817860951e-06,7.666623596121612e-08,1001892635.0826308,103641429.24348903,13887165064226.426,2811573895312.143,3.87300996553678,0.11423081936797164,0.9831677684374601,0.06898432977748085,1.6,0.04092676385936223,2405732.2674304983,1424662.6937062899,1.4398538963043912,0.1390933067808764,0.0005765647153273476,0.0005446157850461167,5.243607111812506e-09,4.953045387197863e-09,0.06852264893596755,0.09072231667236755,27.701811796652308,1.0278524496140324,1.73227948789172e-06,3.6001439840572256e-07,4.964521097952072e-06,7.893312902741479e-07,1.5440823740644646e-05,2.093981330379638e-06,2.0872488369869497,0.2348408959000793,-0.0006688442211055165,0.044205526435770935,44.08333333333333,3100.4635770842524,0.3871712711809045,0.05457608425114368,173757958034.64392,73233244325.20508,0.7539989969091746,-0.43892143946973267,0.8950031900709972,0.07948119108667774,0.13301583031037087,0.8450982209122762,0.38115674884360323,0.37487135102842967,0.11298517278045458,-0.3052162626478536,-0.2317084861927017,0.9236634725058488
2009-03-30 20:17:52,42.3042,13.3747,5.37,1.6467,200.0,126.0,27465145.0,127386.48098203201,1.980579996282842e-07,2.1432335783589793e-08,7.281956822001122e-06,4.368570358142881e-08,1012328633.4642584,98888798.0476844,12776283421958.49,2535413374380.7583,3.8883394413703347,0.131491243284758,0.9921065072571347,0.07535383934038982,1.6,0.046378874501220906,2381217.6402298296,1684044.5989540133,1.4395892165863007,0.1352991208203693,0.0006711194397361449,0.0005463013691056304,6.103541499375476e-09,4.968375046344635e-09,0.056276960812542035,0.08989899392744112,30.190589613843407,1.1164586353204708,1.7162162159881641e-06,3.2016792252810193e-07,4.8433120375748095e-06,7.216908998857014e-07,1.5461730764374638e-05,2.054005288587379e-06,2.1837980253591116,0.2612682954092807,0.00921658291457287,0.04594169802355961,-6.088383838383839,2583.8738356710232,0.37560390655778897,0.0509418251999741,168431231122.9293,79582536755.69116,0.7685495878990778,-0.472428687031866,0.8786270307760357,0.06946708903527196,0.14277120783624542,0.8682941832639847,0.4504469178589944,0.20775655344961458,0.08867920426467683,-0.15124928753312303,-0.15846802510607502,0.9757107860630134
2009-03-30 20:19:35,42.332,13.3892,13.0,3.04,200.0,126.0,27407725.0,229604.95637290666,2.037781373509674e-07,2.7120031965407374e-08,7.297212738379417e-06,7.195187732214816e-08,979122478.1203198,114977346.44603342,14008912242692.996,2765418083524.7007,3.851016985665449,0.12022763646095759,0.969938128803434,0.0692297987808216,1.6,0.05471517157059823,2737459.210742213,1806974.6302071325,1.4645199708714989,0.13118644693873371,0.0005845321251356224,0.0005780353608996974,5.316067263505408e-09,5.256981998233972e-09,0.05941002219452478,0.09838979102782795,27.457676086735315,1.21837361304184,1.7249543716404854e-06,3.4366572042367385e-07,4.991450905312891e-06,8.129417800749166e-07,1.6026103173468133e-05,2.022717404835193e-06,2.208357789361062,0.22553221336665133,0.007168341708542713,0.043640643080954056,9.43939393939394,2698.3201700405184,0.39316800145728636,0.05123341761222813,176189081530.30554,83144109506.38521,0.7527702667146382,-0.4240892183858272,0.9018000460961317,0.08309640010200897,0.14022403566868344,0.8701525249048895,0.38033379392999594,0.3133381377943986,0.10700569761667825,-0.25096397799394277,-0.2051898683069671,0.9459990484633828
2009-03-30 20:43:06,42.3288,13.3783,10.43,1.6933,200.0,127.0,27138505.0,296512.36379059457,2.0211320453700195e-07,2.6076578485476772e-08,7.369602710245093e-06,9.200509550803712e-08,991436678.3730054,111200705.44753137,13799676279841.512,3019779934157.0293,3.891070179847617,0.13424098631417236,0.9938831758597719,0.07692476855595592,1.6,0.053101318251056635,2494613.599870894,1734941.9692744783,1.4525580450339346,0.1346409069996517,0.0006682965117804827,0.000580503261440893,6.077868188624851e-09,5.279426487959143e-09,0.047402194457549424,0.09359766582981226,27.636680385220906,1.2560893546142564,1.8181359056589481e-06,3.0557162447533574e-07,5.108456857150073e-06,7.466733328668485e-07,1.618212968102357e-05,2.0789550252431803e-06,2.1817517860502047,0.23957388322765955,-0.0011557788944723682,0.04737745593597361,-1.2752525252525253,2838.593471844663,0.40517135603015075,0.05256505398465603,181750421951.39392,76807747358.8421,0.7533640604774223,-0.4223237338907603,0.9027262492845504,0.0820242808271649,0.13977165085728951,0.8677614313078362,0.37648863657058745,0.3244170230857119,0.10686428866528812,-0.26197855279992194,-0.20818651585985937,0.9423511089222484
2009-03-30 21:17:27,42.3202,13.3683,10.79,1.6933,200.0,127.0,26999820.0,412839.9624821395,1.9595087317516313e-07,2.4034517933354808e-08,7.407456790452677e-06,1.1940026480718807e-07,1021649891.7460889,108101026.19800186,14233072593847.887,2907285780695.2793,3.8669373570060332,0.1170521073603296,0.978207492292308,0.06996710880103676,1.6,0.03646573734342964,2463237.2817119304,1329321.4290040724,1.4575797057599231,0.14895493083939862,0.0006076838620436621,0.0006088107799745024,5.526622313224127e-09,5.5368711451756755e-09,0.055314953882867,0.10018350044368568,28.379251227885312,1.2594235985656552,1.7928840180803517e-06,3.4817554745253337e-07,5.176636953612283e-06,7.865410469588663e-07,1.6363364751760485e-05,2.1337506468202736e-06,2.233551204692768,0.2171747460764616,-0.00550879396984925,0.04769014521243901,-0.898989898989899,2767.296474261593,0.4045662951256281,0.055768978300142824,184742834338.05554,73527694803.93484,0.7590240898301771,-0.4347438646174746,0.897513793141782,0.07393756350944422,0.13416315442830584,0.8517224452493747,0.3831136907920218,0.357481155008402,0.10681275574151708,-0.29251777456402367,-0.21838702124431592,0.9309889690625478
2009-03-30 21:57:17,42.3272,13.382,11.52,3.5733,200.0,126.0,27002210.0,408949.00569662463,2.045253134023434e-07,2.2945308261407867e-08,7.419756821385126e-06,1.1796685363732745e-07,980318047.3407859,102523322.88976727,14009554524074.36,2875297497696.885,3.8103335431428658,0.13657172875278104,0.942637822875394,0.07494652607142353,1.6,0.061895072501775124,2992136.462662152,2113008.8060299437,1.4629280721458533,0.13097742357483508,0.0006903204543852522,0.0005925662984601552,6.278166436163208e-09,5.389134600548633e-09,0.06257854685468825,0.0692860319933943,27.794549291897034,1.1689197282911714,1.8103824670593574e-06,3.000054089171525e-07,5.188000303022651e-06,7.189740774519739e-07,1.6394788010403782e-05,2.040040677166055e-06,2.2128626646360243,0.2439158004010018,0.00522638190954774,0.04284900280389962,4.664141414141414,3067.706609632571,0.41294085912060297,0.05044935709824443,167409418452.01767,72573171288.18542,0.7509578733317712,-0.42424635328192406,0.9021298280247957,0.07859265305956471,0.14023597495646958,0.8571890996687818,0.37209301922883015,0.3560528506418626,0.10880615171175924,-0.2919621193511444,-0.21842288897715298,0.9311549615584199
